row_number,movie_id,director_name
106,810,Raman Hui
107,68735,Duncan Jones
108,87101,Alan Taylor
109,10140,Michael Apted
110,676,Michael Bay
111,1858,Michael Bay
112,1966,Oliver Stone
113,675,David Yates
114,674,Mike Newell
115,8960,Peter Berg
116,6479,Francis Lawrence
117,118,Tim Burton
118,2062,Jan Pinkava
118,2062,Brad Bird
119,272,Christopher Nolan
120,10527,Eric Darnell
120,10527,Tom McGrath
121,18360,Shawn Levy
122,2080,Gavin Hood
123,605,Lilly Wachowski
123,605,Lana Wachowski
124,109445,Chris Buck
124,109445,Jennifer Lee
125,604,Lilly Wachowski
125,604,Lana Wachowski
126,76338,Alan Taylor
127,76341,George Miller
128,13448,Ron Howard
129,10195,Kenneth Branagh
130,13053,Chris Williams
130,13053,Byron Howard
131,19585,Hoyt Yeatman
132,57165,Jonathan Liebesman
133,62213,Tim Burton
134,177677,Christopher McQuarrie
135,7978,Joe Johnston
136,5559,Steve Hickner
136,5559,Simon J. Smith
137,49444,Jennifer Yuh Nelson
138,10196,M. Night Shyamalan
139,956,J.J. Abrams
140,117251,Roland Emmerich
141,50321,Simon Wells
142,11619,David Bowers
142,11619,Sam Fell
143,266647,Joe Wright
144,82703,Rob Minkoff
145,652,Wolfgang Petersen
146,80321,Conrad Vernon
146,80321,Eric Darnell
146,80321,Tom McGrath
147,36669,Lee Tamahori
148,43074,Paul Feig
149,95,Michael Bay
150,608,Barry Sonnenfeld
151,2310,Robert Zemeckis
152,140300,Jennifer Yuh Nelson
152,140300,Alessandro Carloni
153,56292,Brad Bird
154,81188,Peter Ramsey
155,7552,Dean Parisot
156,616,Edward Zwick
157,147441,Ridley Scott
158,13475,J.J. Abrams
159,557,Sam Raimi
160,82702,Dean DeBlois
161,205584,Alex Proyas
162,10048,Rob Cohen
163,13183,Zack Snyder
164,944,Richard Donner
165,1927,Ang Lee
166,72559,Jon M. Chu
167,7364,Breck Eisner
168,2114,Hironobu Sakaguchi
168,2114,Motonori Sakakibara
169,1771,Joe Johnston
170,36643,Michael Apted
171,8619,Peter Weir
172,50620,Bill Condon
173,65759,George Miller
174,1724,Louis Leterrier
175,267935,Steven Spielberg
176,281957,Alejandro Gonz??lez I????rritu
177,77950,David Soren
178,44896,Gore Verbinski
179,270946,Eric Darnell
179,270946,Simon J. Smith
180,2503,Paul Greengrass
181,9502,Mark Osborne
181,9502,John Stevenson
182,102899,Peyton Reed
183,101299,Francis Lawrence
184,228161,Tim Johnson
185,74,Steven Spielberg
186,8961,Michael Bay
187,417859,Chris Miller
188,27576,Phillip Noyce
189,86834,Darren Aronofsky
190,17578,Steven Spielberg
191,673,Alfonso Cuar??n
192,6972,Baz Luhrmann
193,82700,M. Night Shyamalan
194,10567,Ralph Zondag
194,10567,Eric Leighton
195,181533,Shawn Levy
196,38055,Tom McGrath
197,671,Chris Columbus
198,49524,Robert Schwentke
199,22,Gore Verbinski
200,131631,Francis Lawrence
201,591,Ron Howard
202,172385,Carlos Saldanha
203,36658,Bryan Singer
204,51497,Justin Lin
205,58574,Guy Ritchie
206,18823,Louis Leterrier
207,861,Paul Verhoeven
208,1911,John McTiernan
209,49040,Tony Gilroy
210,415,Joel Schumacher
211,8871,Ron Howard
212,435,Roland Emmerich
213,955,John Woo
214,2133,Wolfgang Petersen
215,1979,Tim Story
216,87827,Ang Lee
217,1250,Mark Steven Johnson
218,324668,Paul Greengrass
219,9471,McG
220,70981,Ridley Scott
221,10996,Rob Minkoff
222,68724,Neill Blomkamp
223,2789,David Twohy
224,97020,Jos?? Padilha
225,7459,Lilly Wachowski
225,7459,Lana Wachowski
226,42888,James L. Brooks
227,37834,James Mangold
228,75612,Joseph Kosinski
229,1895,George Lucas
230,1894,George Lucas
231,585,Pete Docter
232,76170,James Mangold
233,1893,George Lucas
234,49519,Chris Sanders
234,49519,Kirk De Micco
235,2395,Thomas Langmann
235,2395,Fr??d??ric Forestier
236,12100,John Woo
237,290595,Cedric Nicolas-Troyan
238,98566,Jonathan Liebesman
239,49047,Alfonso Cuar??n
240,9619,Roger Donaldson
241,308531,Dave Green
242,166424,Josh Trank
243,1593,Shawn Levy
244,254128,Brad Peyton
245,714,Roger Spottiswoode
246,2024,Roland Emmerich
247,163,Steven Soderbergh
248,787,Doug Liman
249,262500,Robert Schwentke
250,2567,Martin Scorsese
251,38745,Rob Letterman
252,40805,Michel Gondry
253,53182,Noam Murro
254,41513,Raja Gosnell
255,13700,Will Finn
255,13700,John Sanford
256,262504,Robert Schwentke
257,39254,Shawn Levy
258,77931,Raja Gosnell
259,1639,Jan de Bont
260,80274,Gavin Hood
261,1571,Len Wiseman
262,120,Peter Jackson
263,10204,Frank Coraci
264,8489,Michael Mann
265,10588,Bo Welch
266,2048,Alex Proyas
267,1495,Ridley Scott
268,10137,Rob Minkoff
269,10198,Ron Clements
269,10198,John Musker
270,286217,Ridley Scott
271,1635,Michael Bay
272,24113,Peter Chelsom
273,9679,Dominic Sena
274,98,Ridley Scott
275,180,Steven Spielberg
276,672,Chris Columbus
277,36557,Martin Campbell
278,869,Tim Burton
279,280,James Cameron
280,11322,Michael Mann
281,4982,Ridley Scott
282,36955,James Cameron
283,18487,Tony Scott
284,39451,Paul Weitz
285,27581,Adam McKay
286,9268,Chuck Russell
287,68718,Quentin Tarantino
288,10545,Gary Trousdale
288,10545,Kirk Wise
289,11688,Mark Dindal
290,76163,Simon West
291,2059,Jon Turteltaub
292,2486,Stefen Fangmeier
293,16523,Spike Jonze
294,116711,Chris Wedge
295,37710,Florian Henckel von Donnersmarck
296,9946,Peter Hyams
297,1372,Edward Zwick
298,106646,Martin Scorsese
299,414,Joel Schumacher
300,563,Paul Verhoeven
301,83542,Tom Tykwer
301,83542,Lilly Wachowski
301,83542,Lana Wachowski
302,41216,Zack Snyder
303,314,Pitof
304,184315,Brett Ratner
305,9016,Ron Clements
305,9016,John Musker
306,18162,Brad Silberling
307,138103,Patrick Hughes
308,257088,Ericson Core
309,10214,Lawrence Guterman
310,205775,Ron Howard
311,11692,Ron Underwood
312,22972,Paul Greengrass
313,227973,Steve Martino
314,29193,David Mamet
315,1734,Stephen Sommers
316,3131,Martin Scorsese
317,76758,Zhang Yimou
318,9408,Ash Brannon
318,9408,Chris Buck
319,9890,Frank Oz
320,855,Ridley Scott
321,77953,Jay Roach
322,18,Luc Besson
323,37786,Michael Patrick King
324,10501,Don Michael Paul
324,10501,Bibo Bergeron
325,57800,Steve Martino
325,57800,Mike Thurmeier
326,150689,Kenneth Branagh
327,7980,Peter Jackson
328,12,Andrew Stanton
329,122,Peter Jackson
330,121,Peter Jackson
331,68737,Sergei Bodrov
332,1995,Simon West
333,157353,Wally Pfister
334,331,Joe Johnston
335,61791,Rupert Wyatt
336,8204,Mark Waters
337,47964,John Moore
338,10733,John Lee Hancock
339,9806,Brad Bird
340,1408,Renny Harlin
341,32657,Chris Columbus
342,607,Barry Sonnenfeld
343,863,John Lasseter
344,44048,Tony Scott
345,5175,Brett Ratner
346,2655,Robert Zemeckis
347,22794,Phil Lord
347,22794,Christopher Miller
348,8355,Carlos Saldanha
349,116745,Ben Stiller
350,4327,McG
351,1422,Martin Scorsese
352,10674,Tony Bancroft
352,10674,Barry Cook
353,7446,Ben Stiller
354,65754,David Fincher
355,1572,John McTiernan
356,10528,Guy Ritchie
357,271969,Timur Bekmambetov
358,10865,Gary Trousdale
358,10865,Kirk Wise
359,258509,Walt Becker
360,2253,Bryan Singer
361,10661,Dennis Dugan
362,257344,Chris Columbus
363,644,Steven Spielberg
364,10756,Rob Minkoff
365,686,Robert Zemeckis
366,9383,Paul Verhoeven
367,179,Sydney Pollack
368,76285,Thor Freudenthal
369,1996,Jan de Bont
370,291805,Jon M. Chu
371,10003,Phillip Noyce
372,1535,Tony Scott
373,2067,Brian De Palma
374,46195,Carlos Saldanha
375,2277,Chris Columbus
376,10357,Mick Jackson
377,4477,Alan J. Pakula
378,8665,Kathryn Bigelow
379,9387,John Milius
380,921,Ron Howard
381,49852,Andrei Konchalovsky
382,4464,Gary Ross
383,664,Jan de Bont
384,8358,Robert Zemeckis
385,9836,George Miller
386,2502,Paul Greengrass
387,9772,Wolfgang Petersen
388,161,Steven Soderbergh
389,52451,Paul W.S. Anderson
390,76492,Genndy Tartakovsky
391,4523,Kevin Lima
392,59961,Daniel Espinosa
393,10481,Kevin Lima
394,59108,Brett Ratner
395,1581,Nancy Meyers
396,9798,Tony Scott
397,22897,Nancy Meyers
398,298,Steven Soderbergh
399,7484,Jill Culton
399,7484,Roger Allers
399,7484,Anthony Stacchi
400,157350,Neil Burger
401,853,Jean-Jacques Annaud
402,10159,Peter Berg
403,9593,John McTiernan
404,1904,Rob Marshall
405,9615,Justin Lin
406,51052,Barry Cook
406,51052,Sarah Smith
407,297,Martin Brest
408,9884,Andrew Davis
409,16858,Bob Fosse
410,62764,Tarsem Singh
411,22538,Edgar Wright
412,9341,Jon Amiel
413,12107,Peter Segal
414,9637,Raja Gosnell
415,49049,Pete Travis
416,9339,Frank Coraci
417,16281,George A. Romero
418,39691,Brad Peyton
419,8247,Doug Liman
420,11253,Guillermo del Toro
421,1949,David Fincher
422,8452,Roger Spottiswoode
423,310,Tom Shadyac
424,27578,Sylvester Stallone
425,954,Brian De Palma
426,70160,Gary Ross
427,45243,Todd Phillips
428,364,Tim Burton
429,7518,Karey Kirkpatrick
429,7518,Tim Johnson
430,11544,Chris Sanders
430,11544,Dean DeBlois
431,9986,Gary Winick
432,8656,Mimi Leder
433,146216,Dean Parisot
434,9291,Peter Segal
435,55301,Mike Mitchell
436,109418,Dennis Dugan
437,11665,Peter Segal
438,6964,Nancy Meyers
439,11324,Martin Scorsese
440,12193,Seth Gordon
441,9928,Chris Wedge
441,9928,Carlos Saldanha
442,754,John Woo
443,10202,Adam Shankman
444,4147,Sam Mendes
445,50546,Dennis Dugan
446,1701,Simon West
447,13027,D.J. Caruso
448,2289,Anthony Minghella
449,20504,Albert Hughes
449,20504,Allen Hughes
450,9574,Les Mayfield
451,11618,Jan de Bont
452,2300,Joe Pytka
453,12096,Shawn Levy
454,10200,Scott Derrickson
455,8834,Richard Donner
456,228150,David Ayer
457,6068,Ivan Reitman
458,41515,Eric Brevig
459,9023,Kelly Asbury
459,9023,Lorna Cook
460,38317,Frank Coraci
461,2157,Stephen Hopkins
462,14462,Jonathan Demme
463,161795,Henry Jaglom
464,159824,Genndy Tartakovsky
465,49948,James Algar
465,49948,Don Hahn
465,49948,Ga??tan Brizzi
465,49948,Paul Brizzi
465,49948,Eric Goldberg
465,49948,Hendel Butoy
465,49948,Francis Glebas
465,49948,Pixote Hunt
466,2135,Simon Wells
467,9822,Ron Underwood
468,9705,Dominic Sena
469,1656,Martin Campbell
470,12159,Vincent Ward
471,9678,Steven Brill
472,4442,Terry Gilliam
473,75,Tim Burton
474,330770,Lucile Hadzihalilovic
475,9433,Lee Tamahori
476,19959,Jonathan Mostow
477,11973,Roger Donaldson
478,11228,Rob Cohen
479,77951,Barry Cook
479,77951,Neil Nightingale
480,5491,Roger Christian
481,10715,Joe Dante
482,10197,Rob Marshall
483,9562,Richard Donner
484,9922,Kevin Costner
485,9447,George Miller
486,274854,Breck Eisner
487,8870,Antony Hoffman
488,9992,Luc Besson
489,36970,Jacques Perrin
489,36970,Jacques Cluzaud
490,10077,Peter Hyams
491,76649,Paul W.S. Anderson
492,293644,Andr??s Couturier
493,453,Ron Howard
494,8587,Roger Allers
494,8587,Rob Minkoff
495,72545,Brad Peyton
496,109451,Cody Cameron
496,109451,Kris Pearn
497,9533,Brett Ratner
498,2023,Joe Johnston
499,71880,Dennis Dugan
500,584,John Singleton
501,309809,Mark Osborne
502,4858,Oliver Hirschbiegel
502,4858,James McTeigue
503,17711,Des McAnuff
504,328111,Chris Renaud
505,8698,Stephen Norrington
506,93456,Pierre Coffin
506,93456,Chris Renaud
507,602,Roland Emmerich
508,330,Steven Spielberg
509,953,Eric Darnell
509,953,Tom McGrath
510,9693,Alfonso Cuar??n
511,36657,Bryan Singer
512,8909,Timur Bekmambetov
513,9802,Michael Bay
514,950,Carlos Saldanha
515,1824,Peter Segal
516,2976,Adam Shankman
517,11026,Renny Harlin
518,332,David Kellogg
519,75656,Louis Leterrier
520,38365,Dennis Dugan
521,594,Steven Spielberg
522,15189,Thor Freudenthal
523,11678,Martin Campbell
524,6538,Mike Nichols
525,10555,Vicky Jenson
525,10555,Bibo Bergeron
525,10555,Rob Letterman
526,1125,Bill Condon
527,4551,F. Gary Gray
528,612,Steven Spielberg
529,9567,Antoine Fuqua
530,37821,Robert Luketic
531,203801,Guy Ritchie
532,2539,James L. Brooks
533,9297,Gil Kenan
534,3172,Barry Levinson
535,6520,Jerry Zucker
536,1439,Andy Tennant
537,37958,Tarsem Singh
538,2026,Florent-Emilio Siri
539,7450,Gary Goldman
539,7450,Don Bluth
540,11375,Ron Shelton
541,9425,Paul W.S. Anderson
542,25769,?€lex Pastor
542,25769,David Pastor
543,23685,Henry Selick
544,11866,John Moore
545,9741,M. Night Shyamalan
546,211672,Kyle Balda
546,211672,Pierre Coffin
547,23629,Zack Snyder
548,8688,Brian De Palma
549,10153,Barry Levinson
550,153518,Fergal Reilly
550,153518,Clay Kaytis
551,8676,Andy Tennant
552,20829,Judd Apatow
553,4349,Peter Berg
554,9718,Adam McKay
555,10808,Steve Carr
556,197,Mel Gibson
557,25,Sam Mendes
558,35,David Silverman
559,11086,Frank Darabont
560,10477,Renny Harlin
561,1997,Jean-Jacques Annaud
562,6947,M. Night Shyamalan
563,3050,Betty Thomas
564,2675,M. Night Shyamalan
565,809,Andrew Adamson
565,809,Kelly Asbury
565,809,Conrad Vernon
566,920,John Lasseter
566,920,Joe Ranft
567,4806,Garry Marshall
568,7451,Rob Cohen
569,228165,Paul Tibbitt
570,3595,Ron Howard
571,16869,Quentin Tarantino
572,879,Steven Spielberg
573,1573,Renny Harlin
574,9257,Clark Johnson
575,1903,Cameron Crowe
576,9697,M. Night Shyamalan
577,395,Paul W.S. Anderson
578,23398,Betty Thomas
579,10590,Randall Wallace
580,117263,Antoine Fuqua
581,200,Jonathan Frakes
582,44943,Jonathan Liebesman
583,587,Tim Burton
584,10395,Mike Nichols
585,57212,Steven Spielberg
586,152760,George Clooney
587,2756,James Cameron
588,33909,Oliver Stone
589,49017,Gary Shore
590,9882,Edward Zwick
591,2270,Matthew Vaughn
592,978,Jean-Jacques Annaud
593,44564,Ron Howard
594,3132,Joel Schumacher
595,8814,Andrzej Bartkowiak
596,8427,Betty Thomas
597,52520,M??ns M??rlind
597,52520,Bj??rn Stein
598,80585,Adam Shankman
599,10592,Gregory Hoblit
600,49021,Gary McKendry
601,11535,John McTiernan
602,10550,Wych Kaosayananda
603,11258,Mikael Salomon
604,12610,Bobby Farrelly
604,12610,Peter Farrelly
605,59981,Dan St. Pierre
606,201088,Michael Mann
607,5137,Kerry Conran
608,3093,Michael Caton-Jones
609,107846,Mikael H??fstr??m
610,188207,Renny Harlin
611,4614,Phil Alden Robinson
612,24021,David Slade
613,11371,Frank Oz
614,20352,Pierre Coffin
614,20352,Chris Renaud
615,11517,Joseph Ruben
616,214756,Seth MacFarlane
617,26428,Alejandro Amen??bar
618,9824,Kinka Usher
619,48988,Bobby Farrelly
619,48988,Peter Farrelly
620,9008,Michael Mann
621,300673,Craig Gillespie
622,12113,Ridley Scott
623,38778,Jay Roach
624,72331,Timur Bekmambetov
625,1844,Jon Amiel
626,846,Rob Bowman
627,9703,Doug Lefler
628,857,Steven Spielberg
629,136797,Scott Waugh
630,3981,Nancy Meyers
631,425,Chris Wedge
632,6171,Lawrence Kasdan
633,72976,Steven Spielberg
634,603,Lilly Wachowski
634,603,Lana Wachowski
635,568,Ron Howard
636,9021,Michael Lembeck
637,82695,Tom Hooper
638,9489,Nora Ephron
639,12133,Adam McKay
640,9342,Martin Campbell
641,41733,Todd Phillips
642,227306,Angelina Jolie
643,5551,Clint Eastwood
644,9350,Renny Harlin
645,9208,John Woo
646,4244,Jon Turteltaub
647,1852,Oliver Stone
648,11820,Mike Newell
649,76493,Larry Charles
650,345,Stanley Kubrick
651,196867,Will Gluck
652,256591,Glenn Ficarra
652,256591,John Requa
653,59962,McG
654,36648,David S. Goyer
655,1880,John Milius
656,9440,Mike Nichols
657,71679,Paul W.S. Anderson
658,10483,Paul W.S. Anderson
659,11412,Renny Harlin
660,11983,Taylor Hackford
661,6795,Jon Favreau
662,550,David Fincher
663,11170,McG
664,9292,Michael Lehmann
665,10783,Nora Ephron
666,100241,Stuart Beattie
667,257,Roman Polanski
668,9947,Rob Bowman
669,189,Robert Rodriguez
669,189,Frank Miller
670,12618,Sydney Pollack
671,253412,Baltasar Korm??kur
672,1427,Tom Tykwer
673,818,Jay Roach
674,16577,David Bowers
675,329,Steven Spielberg
676,12160,Lawrence Kasdan
677,9331,Phillip Noyce
678,300168,Daniel Lee
679,9072,Keenen Ivory Wayans
680,3536,Jonathan Mostow
681,9087,Rob Reiner
682,12177,Marco Schnabel
683,12138,Demian Lichtenstein
684,273248,Quentin Tarantino
685,9955,Josh Gordon
685,9955,Will Speck
686,50359,Tim Hill
687,1271,Zack Snyder
688,693,Jay Roach
689,14306,David Frankel
690,497,Frank Darabont
691,11199,Walt Becker
692,9982,Mark Dindal
693,210577,David Fincher
694,2501,Doug Liman
695,710,Martin Campbell
696,2275,Simon West
697,37165,Peter Weir
698,9837,Simon Wells
698,9837,Steve Hickner
698,9837,Brenda Chapman
699,10708,Steve Carr
700,136400,Baltasar Korm??kur
701,10992,Lawrence Guterman
702,9654,F. Gary Gray
703,2642,Marc Lawrence
704,8916,Eric Darnell
704,8916,Tim Johnson
705,19899,Peter Billingsley
706,2119,Tony Scott
707,9641,Adam Shankman
708,294254,Wes Ball
709,38167,Ryan Murphy
710,5994,Brett Ratner
711,39514,Robert Schwentke
712,9563,Oliver Stone
713,547,Robert Redford
714,1538,Michael Mann
715,9334,Chuck Russell
716,11128,Jay Russell
717,75780,Christopher McQuarrie
718,8914,Renny Harlin
719,13576,Kenny Ortega
720,39538,Steven Soderbergh
721,10628,David McNally
722,14836,Henry Selick
723,8645,M. Night Shyamalan
724,9509,Tony Scott
725,10067,Brian Robbins
726,9384,Todd Phillips
727,9279,Brian Levant
728,1487,Guillermo del Toro
729,9422,Steven Zaillian
730,77174,Sam Fell
730,77174,Chris Butler
731,4824,Michael Caton-Jones
732,9620,John Woo
733,9302,Jon Avnet
734,10199,Robert Stevenhagen
734,10199,Sam Fell
735,10771,Kevin Donovan
736,3512,Geoff Murphy
737,137094,Kenneth Branagh
738,274479,David O. Russell
739,267860,Babak Najafi
740,8078,Jean-Pierre Jeunet
741,7485,Antoine Fuqua
742,170687,Anthony Stacchi
742,170687,Graham Annable
743,6435,Griffin Dunne
744,137106,Phil Lord
744,137106,Christopher Miller
745,10040,John Pasquin
746,6278,Rob Bowman
747,82682,Ruben Fleischer
748,17610,Harold Ramis
749,22954,Clint Eastwood
750,16995,Kevin Macdonald
751,16558,Tony Gilroy
752,9849,Donald Petrie
753,5820,Clark Johnson
754,16866,Jorge Blanco
754,16866,Javier Abad
754,16866,Marcos Mart??nez
755,201,Stuart Baird
756,11775,Joel Coen
757,87825,Robert Lorenz
758,12201,Martin Campbell
759,11015,Peter Hyams
760,9932,Harold Ramis
761,13389,Jon Avnet
762,8838,Harold Becker
763,17332,Joe Wright
764,4958,Robert Redford
765,786,Cameron Crowe
766,9513,Tim Hill
767,11679,Lee Tamahori
768,38321,Scott Stewart
769,14411,Tim Johnson
769,14411,Patrick Gilmore
770,8413,Paul W.S. Anderson
771,10052,Tom Shadyac
772,9676,Brian De Palma
773,9664,Tony Bill
774,2100,Rod Lurie
775,10384,Walter Hill
775,10384,Jack Sholder
776,137321,Akiva Goldsman
777,123553,Harald Zwart
778,11260,Brian Robbins
779,9009,Walter Salles
780,11374,Ron Howard
781,2309,Iain Softley
782,8285,Frank Miller
783,210860,David Koepp
784,2312,Uwe Boll
785,9839,Martin Campbell
786,381902,Soi Cheang
787,13922,John Dahl
788,293660,Tim Miller
789,9713,Stephen Herek
790,190859,Clint Eastwood
791,257445,Rob Letterman
792,9007,Mark Waters
793,889,Brian Levant
794,1370,Peter MacDonald
795,4942,George Clooney
796,347969,Frank Coraci
797,24438,Marc Lawrence
798,116741,Shawn Levy
799,35791,Paul W.S. Anderson
800,72431,Anthony Hemingway
801,1813,Taylor Hackford
802,87428,Sean Anders
803,8840,Rob Cohen
804,10589,Brett Ratner
805,71676,Brian Taylor
805,71676,Mark Neveldine
806,1722,John Madden
807,10022,Adam Shankman
808,11358,Kevin Bray
809,13,Robert Zemeckis
810,6477,Tim Hill
811,1597,Jay Roach
812,10530,Mike Gabriel
812,10530,Eric Goldberg
813,1924,Richard Donner
814,9327,Tom Shadyac
815,8488,Andy Tennant
816,10603,Sam Weisman
817,8273,Jesse Dylan
818,109424,Paul Greengrass
819,35056,Shawn Levy
820,8839,Brad Silberling
821,156022,Antoine Fuqua
822,7303,Wayne Wang
823,8963,Tony Scott
824,1402,Gabriele Muccino
825,9315,Robert Schwentke
826,8984,Barry Levinson
827,795,Brad Silberling
828,24,Quentin Tarantino
829,11353,Frank Oz
830,393,Quentin Tarantino
831,9618,Andrei Konchalovsky
831,9618,Albert Magnoli
832,9374,Robert Zemeckis
833,8584,Tom Dey
834,2320,Stuart Baird
835,58224,Mark Waters
836,1729,Rob Minkoff
837,175574,Jimmy Hayward
838,8077,David Fincher
839,8818,Alan Parker
840,8195,John Frankenheimer
841,10586,Stephen Hopkins
842,116149,Paul King
843,80035,Akiva Schaffer
844,10632,William Friedkin
845,12117,Jon Turteltaub
846,1792,Bobby Farrelly
846,1792,Peter Farrelly
847,13260,Kent Alterman
848,72197,Peter Lord
848,72197,Jeff Newitt
849,3580,Clint Eastwood
850,12123,Andrew Davis
851,9566,Tony Scott
852,9833,Joel Schumacher
853,4517,Shekhar Kapur
854,8202,Karyn Kusama
855,16072,Ronald F. Maxwell
856,34314,Robert Butler
857,19724,Karey Kirkpatrick
858,145220,James Bobin
859,14623,Jonathan Frakes
860,42297,Steve Antin
861,2841,Jean-Pierre Jeunet
862,802,Stanley Kubrick
863,10375,Jim Gillespie
864,36586,Guillermo del Toro
865,11321,Gabriele Muccino
866,70074,Walter Hill
867,242,Francis Ford Coppola
868,9621,Cameron Crowe
869,1819,Anthony Russo
869,1819,Joe Russo
870,8536,Richard Lester
871,8046,Martin Brest
872,1717,Steven Zaillian
873,479,John Singleton
874,9444,Gary Goldman
874,9444,Don Bluth
875,824,Baz Luhrmann
876,11456,Harold Becker
877,261023,Scott Cooper
878,3683,Clint Eastwood
879,22803,F. Gary Gray
880,285923,Robert Rodriguez
880,285923,Quentin Tarantino
880,285923,Edgar Wright
880,285923,Eli Roth
880,285923,Rob Zombie
880,285923,Jason Eisener
881,39437,Jonathan Demme
882,1950,Curtis Hanson
883,640,Steven Spielberg
884,97630,Kathryn Bigelow
885,9767,Peyton Reed
886,11631,Phyllida Lloyd
887,32856,Garry Marshall
888,6519,Jay Chandrasekhar
889,8741,Terrence Malick
890,49520,David Dobkin
891,1850,Milo?? Forman
892,524,Martin Scorsese
893,26389,Pierre Morel
894,11817,Paul Hunter
895,2123,Bobby Farrelly
895,2123,Peter Farrelly
896,9907,Steve Oedekerk
897,9969,John Whitesell
898,18239,Chris Weitz
899,808,Andrew Adamson
899,808,Vicky Jenson
900,38050,George Nolfi
901,8367,Kevin Reynolds
902,9390,Cameron Crowe
903,72105,Seth MacFarlane
904,2898,James L. Brooks
905,10312,Tom Shadyac
906,109443,Adam McKay
907,2022,Steven Brill
908,37686,J.J. Abrams
909,462,Steven Soderbergh
910,9919,Donald Petrie
911,187017,Phil Lord
911,187017,Christopher Miller
912,628,Neil Jordan
913,10201,Peyton Reed
914,302699,Rawson Marshall Thurber
915,9441,Chris Columbus
916,274167,Sean Anders
917,224141,Rob Marshall
918,388,Spike Lee
919,2112,Brian Helgeland
920,10329,Frank Marshall
921,74465,Cameron Crowe
922,13811,Alex Proyas
923,6877,Tom Dey
924,10320,Hideo Nakata
925,50646,Glenn Ficarra
925,50646,John Requa
926,8920,Peter Hewitt
927,13673,Joe Roth
928,60308,Bennett Miller
929,6950,Wolfgang Petersen
930,225574,Jaume Collet-Serra
931,13836,Andy Fickman
932,752,James McTeigue
933,6038,David Dobkin
934,9975,Matthew O'Callaghan
935,11451,Angela Robinson
936,12103,Gary Fleder
937,60304,Tommy Wirkola
938,2251,Adrian Lyne
939,46529,D.J. Caruso
940,231,Stephen Gaghan
941,300671,Michael Bay
942,228326,Jorge R. Gutierrez
943,9754,Richard Loncraine
944,66,Clint Eastwood
945,4421,Ridley Scott
