qmdbId,movieId,tmdbId,imdbId,year,genre_kws,description_kws,cast_kws
15,34,687,112818,1995,['drama'],"['electric', 'justice', 'forgiveness', 'self-discovery', 'injection', 'despair', 'prison', 'charity', 'rage', 'family', 'unsociability', 'cell', 'and', 'right', 'court', 'mercy', 'deprived', 'rape', 'penalty', 'begnadigung', 'doomed', 'petition', 'socially', 'therapist', 'row', 'case', 'chair', 'lethal', 'death', 'cowardliness', 'hate', 'man', 'sentence']","['Prosky', 'Sarandon', 'Penn', 'Sean', 'Robert', 'Susan', 'Tim', 'Robbins']"
16,36,9603,112697,1995,"['comedy', 'drama', 'romance']","['gay', 'make', 'spoiled', 'director', 'puberty', 'interest', 'conflict', 'high', 'a', 'child', 'school', 'match', 'woman']","['Alicia', 'Silverstone', 'Dash', 'Stacey', 'Murphy', 'Brittany', 'Amy', 'Heckerling']"
17,38,31174,114279,1995,"['war', 'drama']","['england', 'kidnapping', 'king', 'murder', 'shakespeare']","['McKellen', 'Broadbent', 'Bening', 'Ian', 'Annette', 'Jim', 'Richard', 'Loncraine']"
18,41,9312,113855,1995,"['action', 'fantasy']","['gore', 'violence', 'sorcerer', 'based', 'arts', 'tournament', 'monster', 'island', 'video', 'hand', 'martial', 'combat', 'to', 'on', 'game']","['Robin', 'Lambert', 'Linden', 'Christopher', 'Shou', 'Ashby', 'Paul', 'W.S.', 'Anderson']"
19,42,577,114681,1995,"['comedy', 'thriller', 'fantasy', 'drama']","['narcissistic', 'adultery', 'disorder', 'personality', 'new', 'winter', 'obsession', 'hampshire', 'television']","['Phoenix', 'Kidman', 'Dillon', 'Nicole', 'Matt', 'Joaquin', 'Gus', 'Van', 'Sant']"
20,44,807,114369,1995,"['thriller', 'crime', 'mystery']","['evisceration', 'insomnia', 'dealer', 'immoderateness', 'rage', 'pride', 'police', 'self-fulfilling', 'drug', 'serial', 's.w.a.t.', 'killer', 'and', 'impulsiveness', 'lust', 'vanity', 'pension', 'investigation', 'hate', 'detective', 'prophecy']","['Pitt', 'Freeman', 'Morgan', 'Paltrow', 'Gwyneth', 'Brad', 'David', 'Fincher']"
21,45,10530,114148,1995,"['family', 'adventure', 'drama', 'animation']","['chief', 'century', 'princess', 'culture', 'american', 'crossed', 'romance', 'reference', 'virginia', 'sidekick', 'gold', 'animal', 'relationship', 'settler', 'star', 'rush', 'dog', 'animation', 'forbidden', 'pizarro', 'tree', 'shamanism', 'musical', 'settlers', 'powhatan', 'love', 'indians', 'land', 'cross', 'based', 'indian', 'pug', 'native', 'lovers', 'tale', 'musket', 'vs.', 'cultural', 'to', 'folk', 'on', 'claim', 'animate', 'clash', 'songs', '17th', 'jamestown', 'colony']","['Ogden', 'Gibson', 'Stiers', 'Bedard', 'Irene', 'David', 'Mel', 'Mike', 'Gabriel']"
22,47,629,114814,1995,"['thriller', 'crime', 'drama']","['criminal', 'mastermind', 'relatives', 'law', 'theft', 'sibling', 'hungarian']","['Byrne', 'Chazz', 'Palminteri', 'Stephen', 'Gabriel', 'Baldwin', 'Bryan', 'Singer']"
23,51,9089,113321,1995,"['comedy', 'drama', 'romance']","['baltimore', 'generations', 'conflict', 'director', 'family', 'thanksgiving', 'clan', 'woman']","['Anne', 'Downey', 'Jr.', 'Hunter', 'Bancroft', 'Robert', 'Holly', 'Jodie', 'Foster']"
24,53,11359,113419,1995,"['fantasy', 'adventure', 'family']","['comes', 'puppet', 'to', 'life', 'games', 'world', 'toy', 'cupboard', 'parallel']","['Litefoot', 'Crouse', 'Lindsay', 'Hal', 'Scardino', 'Frank', 'Oz']"
25,54,17182,116260,1996,"['thriller', 'drama']","['parents', 'rape', 'self-defense', 'gun', 'grieving']","['Kiefer', 'Field', 'Sally', 'Harris', 'Sutherland', 'Ed', 'John', 'Schlesinger']"
26,55,2054,113862,1995,"['family', 'music', 'drama']","['private', 'music', 'composer', 'life', 'apprentice', 'deaf-mute', 'musical', 'mentor', 'disabled']","['Glenne', 'Headly', 'Thomas', 'Richard', 'Jay', 'Dreyfuss', 'Stephen', 'Herek']"
27,61,10634,113118,1995,['comedy'],"['rapper', 'music', 'parents', 'job', 'rap', 'kids', 'relationship']","['Chris', 'Long', 'Cube', 'Tucker', 'Ice', 'Nia', 'F.', 'Gary', 'Gray']"
28,62,755,116367,1996,"['action', 'crime', 'thriller', 'horror']","['sexual', 'holy', 'dancing', 'blood', 'american', 'robbery', 'convenience', 'hostage', 'relationship', 'boa', 'water', 'mexican', 'violence', 'female', 'entertainer', 'vampire', 'eroticism', 'spurting', 'stripper', 'brother', 'recreational', 'constrictor', 'sheriff', 'crucifix', 'robber', 'border', 'siege', 'nightclub', 'nudity', 'priest', 'store', 'showdown', 'extreme', 'preacher', 'obsession', 'vehicle', 'bank', 'explosion', 'situation']","['Harvey', 'Quentin', 'George', 'Keitel', 'Tarantino', 'Clooney', 'Robert', 'Rodriguez']"
29,71,9623,116731,1996,"['thriller', 'drama']","['court', 'case', 'son', 'trial', 'jurors', 'courtroom', 'blackmail']","['Gordon-Levitt', 'Alec', 'Demi', 'Moore', 'Joseph', 'Baldwin', 'Brian', 'Gibson']"
30,73,400,114660,1995,"['crime', 'drama']","['son', 'revenge', 'independent', 'blood', 'of', 'gangster', 'denver', 'friendship', 'coffin', 'relationship', 'diner', 'mafia', 'violence', 'affair', 'paranoia', 'film', 'life', 'extramarital', 'hunter', 'psychopath', 'prostitution', 'boat', 'way', 'hitman', 'father', 'murder', 'illegal', 'godmother', 'bounty']","['Forsythe', 'Andy', 'Lloyd', 'William', 'García', 'Christopher', 'Gary', 'Fleder']"
31,77,10534,118158,1996,"['action', 'drama']","['of', 'bonding', 'boy', 'discipline', 'male', 'survival', 'teenage', 'sail', 'seasickness', 'coming', 'trip', 'at', 'squall', 'ship', 'caribbean', 'storm', 'diary', 'age', 'sea', 'sailing', '1960s', 'captain']","['Jeff', 'Goodall', 'John', 'Bridges', 'Caroline', 'Savage', 'Ridley', 'Scott']"
32,81,9095,117002,1996,"['thriller', 'romance', 'drama', 'horror']","['century', 'housemaid', 'servant', '19th', 'monster', 'hyde', 'laboratory', 'jekyll', 'and']","['John', 'George', 'Roberts', 'Malkovich', 'Julia', 'Cole', 'Stephen', 'Frears']"
33,82,12158,114825,1995,"['comedy', 'romance', 'horror']","['vampire', 'half']","['Eddie', 'Allen', 'Payne', 'Bassett', 'Murphy', 'Angela', 'Wes', 'Craven']"
34,84,9208,115759,1996,"['action', 'thriller', 'adventure', 'drama']","['river', 'gunfight', 'underground', 'abandoned', 'pilot', 'humvee', 'helicopter', 'mexican', 'canyon', 'military', 'nuclear', 'ranger', 'mine', 'major', 'aircraft', 'betrayal', 'fistfight', 'train', 'countdown', 'desert', 'standoff', 'stealth', 'park', 'explosion', 'boxing', 'device', 'captain']","['Mathis', 'Christian', 'Travolta', 'John', 'Slater', 'Samantha', 'John', 'Woo']"
35,88,11062,115907,1996,"['thriller', 'drama']","['police', 'presidential', 'election', 'drug', 'on', 'mayor', 'agent', 'corruption', 'war', 'dealer', 'undercover', 'investigation', 'drugs']","['John', 'Pacino', 'Bridget', 'Fonda', 'Al', 'Cusack', 'Harold', 'Becker']"
36,89,13685,115734,1996,"['crime', 'comedy', 'drama']","['nervous', 'independent', 'language', 'hospital', 'film', 'maid', 'brother', 'breakdown', 'robbery', 'escapade', 'psychiatric', 'room', 'theft', 'motel', 'laundry', 'barrier', 'relationship', 'burglar']","['Wilson', 'Cavazos', 'Luke', 'Owen', 'Lumi', 'Wes', 'Anderson']"
37,92,9614,116483,1996,['comedy'],"['father', 'loss', 'taxes', 'of', 'mother', 'sport', 'golf']","['Ben', 'McDonald', 'Stiller', 'Christopher', 'Adam', 'Sandler', 'Dennis', 'Dugan']"
38,93,688,112579,1995,"['drama', 'romance']","['letter', 'of', 'nature', 'peasant', 'bridge', 'relationship', 'sight', 'photography', 'photographer', 'life', 'mother', 'unsociability', 'love', ""one's"", 'at', 'iowa', 'role', 'farewell', 'husband', 'secret', 'housewife', 'adultery', 'documentary', 'crisis', 'first', 'marriage', 'wife']","['Annie', 'Eastwood', 'Corley', 'Meryl', 'Streep', 'Clint', 'Clint', 'Eastwood']"
39,95,197,112573,1995,"['action', 'war', 'drama', 'history']","['revolt', 'in', 'enemy', 'with', 'independence', 'individual', 'legend', 'idealism', 'tyranny', 'scotland', 'love']","['Catherine', 'Gibson', 'Sophie', 'Marceau', 'McCormack', 'Mel', 'Mel', 'Gibson']"
40,96,103,75314,1976,"['crime', 'drama']","['shift', 'prostitution', 'vigilante', 'veteran', 'alienation', 'taxi', 'drug', 'vietnam', 'misanthrope', 'illegal', 'loner', 'obsession', 'dealer', 'death', 'to', 'shot', 'night']","['Harvey', 'Cybill', 'Shepherd', 'De', 'Niro', 'Keitel', 'Robert', 'Martin', 'Scorsese']"
41,97,33542,113326,1995,"['action', 'crime', 'comedy', 'thriller']","['epilogue', 'diamond', 'york', 'arts', 'supermarket', 'child', 'new', 'martial', 'gang', 'war', 'wedding', 'bronx', 'disabled']","['Yip', 'Jackie', 'Chan', 'Mui', 'Anita', 'Françoise', 'Stanley', 'Tong']"
42,105,11066,103859,1992,"['comedy', 'romance']","['casanova', 'ladykiller', 'chefin', 'man', 'of', 'role', 'womanizer', ""ladies'"", 'success', 'women']","['Halle', 'Robin', 'Eddie', 'Berry', 'Murphy', 'Givens', 'Reginald', 'Hudlin']"
43,108,2074,116324,1996,"['comedy', 'romance']","['', 'independent', 'parents', 'film', 'lsd', 'looking', 'birth', 'for', 'half-brother']","['Ben', 'Arquette', 'Leoni', 'Patricia', 'Stiller', 'Téa', 'David', 'O.', 'Russell']"
44,111,11863,113451,1995,"['action', 'mystery', 'thriller', 'romance']","['investigation', 'murder', 'san', 'francisco', 'callgirl']","['Chazz', 'Caruso', 'Palminteri', 'David', 'Linda', 'Fiorentino', 'William', 'Friedkin']"
45,113,9302,118055,1996,"['drama', 'romance']","['reporter', 'miami', 'career', 'television', 'vitamin', 'b']","['Pfeiffer', 'Channing', 'Redford', 'Michelle', 'Robert', 'Stockard', 'Jon', 'Avnet']"
46,115,16388,112585,1995,"['comedy', 'drama', 'romance']","['catholic', 'independent', 'film', 'irish', 'best', 'true', 'love', 'friend']","['Bolz', 'Catharine', 'Maxine', 'Albert', 'Shari', 'Bahns', 'Edward', 'Burns']"
47,116,9737,112442,1995,"['action', 'crime', 'comedy', 'thriller']","['gunfight', 'cop', 'hangar', 'reference', 'black', 'hero', 'cannon', 'skittles', 'mexican', 'club', 'foot', 'strip', 'drug', 'crash', 'brutality', 'handcuffs', 'bust', 'airport', 'car', 'miami', 'chase', 'witness', 'to', 'affairs', 'loose', 'internal', 'badge', 'standoff', 'action', 'protection', 'corrupt', 'explosion', 'detective', 'lord']","['Smith', 'Leoni', 'Martin', 'Lawrence', 'Téa', 'Will', 'Michael', 'Bay']"
48,121,568,112384,1995,['drama'],"['imax', 'hypothermia', 'apollo', 'rescue', 'true', 'survival', 'moon', 'race', 'rocket', 'nasa', 'spaceman', 'lunar', 'accident', 'courage', 'against', 'time', 'based', 'v', 'mission', 'space', 'kennedy', 'houston', 'on', 'astronaut', 'cape', 'florida', 'story', 'disaster', 'explosion', 'program', 'saturn', 'spacecraft']","['Bacon', 'Tom', 'Kevin', 'Hanks', 'Paxton', 'Bill', 'Ron', 'Howard']"
49,122,11780,114287,1995,['adventure'],"['century', 'biography', 'highlands', 'man', 'violent', '18th', 'scotland']","['Lange', 'Jessica', 'John', 'Neeson', 'Liam', 'Hurt', 'Michael', 'Caton-Jones']"
50,124,414,112462,1995,"['action', 'crime', 'fantasy']","['tied', 'down', 'disfigurement', 'powers', 'beretta', 'city', 'attorney', 'super', 'violence', 'dc', 'up', 'tommy', 'partner', 'broken', 'gun', 'robin', 'criminal', 'comics', 'gotham', 'millionaire', 'riddle', 'rose', 'falling', 'psychologist', 'superhero', 'neck', 'district', 'father', 'figure', 'out', 'knocked', 'stairs']","['Kilmer', 'Tommy', 'Carrey', 'Val', 'Jim', 'Jones', 'Lee', 'Joel', 'Schumacher']"
51,129,8839,112642,1995,"['fantasy', 'family', 'comedy']","['children', 'ability', 'mischievous', 'friends', 'supernatural', 'disorder', 'young', 'afterlife', 'danger', 'ghost', 'heroes', 'imaginary', 'friendship', 'halloween']","['Pullman', 'Ricci', 'Christina', 'Moriarty', 'Cathy', 'Bill', 'Brad', 'Silberling']"
52,131,10329,112715,1995,"['fiction', 'science', 'adventure', 'mystery', 'action', 'thriller', 'drama']","['gorilla', 'kongo', 'diamond', 'mine']","['Laura', 'Walsh', 'Ernie', 'Hudson', 'Linney', 'Dylan', 'Frank', 'Marshall']"
53,132,8963,112740,1995,"['action', 'drama', 'thriller']","['mutiny', 'torpedo', 'battle', 'cold', 'of', 'war', 'chain', 'for', 'command', 'sonar', 'submarine', 'military', 'nuclear', 'embassy', 'navy', 'power', 'aircraft', 'code', 'carrier', 'russia', 'post', 'missile', 'launch', 'moral', 'u.s.', 'dilemma']","['Gene', 'Craven', 'Washington', 'Hackman', 'Denzel', 'Matt', 'Tony', 'Scott']"
54,134,8068,112851,1995,"['thriller', 'crime', 'action']","['revenge', 'anti', 'gunslinger', 'hero', 'tragic', 'violence', 'mexico', 'drug', 'brutality', 'flashback', 'guitar', 'brace', 'weapon', 'mariachi', 'hitman', 'leg', 'shootout', 'nudity', 'bartender', 'concealed', 'terror', 'showdown', 'bookstore', 'extreme', 'explosion', 'ambush', 'lord']","['Antonio', 'Almeida', 'Joaquim', 'Salma', 'Hayek', 'de', 'Banderas', 'Robert', 'Rodriguez']"
55,136,1572,112864,1995,"['action', 'thriller']","['robbery', 'hero', 'subway', 'gold', 'city', 'dump', 'helicopter', 'violence', 'police', 'reserve', 'taxi', 'deception', 'bomb', 'flashback', 'car', 'simon', 'federal', 'ship', 'riddle', 'aqueduct', 'chase', 'shootout', 'fistfight', 'york', 'sequel', 'agent', 'new', 'action', 'bank', 'fbi', 'explosion', 'says', 'truck', 'detective']","['Jeremy', 'Irons', 'Bruce', 'L.', 'Jackson', 'Willis', 'Samuel', 'John', 'McTiernan']"
56,138,6520,113071,1995,"['action', 'adventure', 'drama', 'romance']","['excalibur', 'king', 'arthur', 'knights', 'table', 'round', 'knight', 'camelot', 'of', 'the']","['Gere', 'Julia', 'Connery', 'Richard', 'Ormond', 'Sean', 'Jerry', 'Zucker']"
57,140,10428,113243,1995,"['action', 'drama', 'crime', 'thriller']","['sexual', 'nudity', 'teenager', 'internet', 'hacker', 'virtual', 'cyberpunk', 'york', 'dream', 'female', 'new', 'virus', 'prank', 'sequence', 'computer', 'reality', 'service', 'city', 'fantasy', 'secret']","['Jonny', 'Jolie', 'Miller', 'Angelina', 'Bradford', 'Jesse', 'Lee', 'Iain', 'Softley']"
58,145,9344,113540,1995,"['crime', 'drama']","['puberty', 'time', 'first']","['Dawson', 'Fitzpatrick', 'Chloë', 'Sevigny', 'Leo', 'Rosario', 'Larry', 'Clark']"
59,150,2293,113749,1995,"['comedy', 'romance']","['show', 'silent', 'ex-girlfriend', 'epilogue', 'and', 'bandleader', 'ex-boyfriend', 'slacker', 'man', 'mall', 'jay', 'bob', 'coke', 'sex', 'game', 'relationship', 'shopping']","['Jason', 'London', 'Jeremy', 'Shannen', 'Doherty', 'Lee', 'Kevin', 'Smith']"
60,155,1642,113957,1995,"['crime', 'mystery', 'thriller', 'action', 'drama']","['cheating', 'new', 'virus', 'chase', 'computer', 'identity', 'stalking']","['Northam', 'Jeremy', 'Dennis', 'Miller', 'Sandra', 'Bullock', 'Irwin', 'Winkler']"
61,158,11980,114194,1995,"['thriller', 'fantasy', 'horror']","['menschheit', 'angel', 'gabriel', 'archangel']","['Koteas', 'Walken', 'Christopher', 'Madsen', 'Elias', 'Virginia', 'Gregory', 'Widen']"
62,160,10533,114345,1995,"['romance', 'drama', 'history']","['witches', 'novel', 'affair', 'based', 'extramarital', 'of', 'period', 'puritan', 'on', 'burning', 'drama', 'pregnancy']","['Duvall', 'Demi', 'Moore', 'Oldman', 'Robert', 'Gary', 'Roland', 'JoffÃ©']"
63,161,10802,114436,1995,['drama'],"['spanner', 'dancing', 'nudity', 'go-go', 'female', 'striptease', 'dancer', 'sexappeal', 'seduction']","['Elizabeth', 'MacLachlan', 'Gina', 'Kyle', 'Berkley', 'Gershon', 'Paul', 'Verhoeven']"
64,164,9348,114508,1995,"['action', 'fiction', 'science', 'horror']","['sexual', 'alien', 'scientists', 'genetic', 'paranoia', 'run', 'angeles', 'genetics', 'telepathy', 'instinct', 'attraction', 'cocoon', 'los', 'dna', 'the', 'femme', 'decapitation', 'engineering', 'on', 'fatale']","['Kingsley', 'Natasha', 'Ben', 'Michael', 'Henstridge', 'Madsen', 'Roger', 'Donaldson']"
65,171,3512,114781,1995,"['action', 'thriller']","['train', 'pentagon', 'seal', 'terrorist', 'navy', 'satellite']","['McGill', 'Everett', 'Bogosian', 'Eric', 'Seagal', 'Steven', 'Geoff', 'Murphy']"
66,175,9804,114898,1995,"['action', 'adventure']","['water', 'mutant', 'tattoo', 'doomsday', 'ocean', 'dystopia']","['Aviles', 'Rick', 'Chaim', 'Costner', 'Kevin', 'Girafi', 'Kevin', 'Reynolds']"
67,182,76,112471,1995,"['drama', 'romance']","['traveller', 'vienna', 'dialogue', 'bittersweet', 'sunrise', 'romantic', 'walking', 'danube', 'talking', 'soulmates', 'austria']","['Delpy', 'Hawke', 'Ethan', 'Andrea', 'Julie', 'Eckert', 'Richard', 'Linklater']"
68,189,2292,109445,1994,['comedy'],"['epilogue', 'salesclerk', 'loser']","['Jeff', 'Jason', ""O'Halloran"", 'Mewes', 'Anderson', 'Brian', 'Kevin', 'Smith']"
69,190,1909,112883,1994,"['drama', 'comedy', 'romance']","['psychiatrist', 'addiction', 'mental', 'juan', 'patient', 'don', 'institution', 'sex', 'love']","['Faye', 'Brando', 'Marlon', 'Johnny', 'Dunaway', 'Depp', 'Jeremy', 'Leven']"
70,191,8984,109635,1994,"['crime', 'mystery', 'romance', 'thriller', 'drama']","['sexual', 'harassment', 'employee', 'workplace', 'intrigue']","['Douglas', 'Demi', 'Moore', 'Michael', 'Donald', 'Sutherland', 'Barry', 'Levinson']"
71,196,8467,109686,1994,['comedy'],"['defecation', 'station', 'colorado', 'relationship', 'violence', 'parakeet', 'a', 'hotel', 'species', 'job', 'foolish', 'fired', 'criminal', 'suite', 'clumsiness', 'stupidity', 'from', 'sitting', 'the', 'endangered', 'motel', 'on', 'smoking', 'pill', 'scooter', 'aspen', 'laxative', 'stepmother', 'toilet', 'gas', 'utah', 'prank', 'stepdaughter', 'cigar']","['Jeff', 'Lauren', 'Daniels', 'Jim', 'Carrey', 'Holly', 'Bobby', 'Farrelly']"
72,198,20156,109759,1994,"['mystery', 'drama']","['nightclub', 'pet', 'independent', 'shop', 'film', 'unhappiness', 'secret']","['Mia', 'Bruce', 'Koteas', 'Kirshner', 'Elias', 'Greenwood', 'Atom', 'Egoyan']"
73,200,522,109707,1994,"['comedy', 'drama', 'history']","['boxer', 'transvestite', 'angeles', 'transsexuality', 'trick', 'movie', 'business', 'studio', 'making', 'vororte', 'handgun', 'producer', 'film', 'taxi', 'drug', 'actor', 'treating', 'or', 'oddball', 'morphine', 'teller', 'fortune', 'maker', 'cult', 'celebrity', 'director', 'individual', 'los', 'addict', 'theremin']","['Jessica', 'Landau', 'Parker', 'Martin', 'Sarah', 'Johnny', 'Depp', 'Tim', 'Burton']"
74,211,14275,110057,1994,['documentary'],"['narration', 'team', 'independent', 'ghetto', 'inner', 'film', 'college', 'high', 'sports', 'chicago', 'sport', 'school', 'city', 'basketball', 'student']","['Gates', 'Agee', 'William', 'James', 'Arthur', 'Steve', 'Steve', 'James']"
75,212,1024,110005,1994,"['fantasy', 'drama']","['nudity', 'friends', 'independent', 'film', 'relationship', 'literature', 'murder', 'mother', 'obsession', 'true', 'passion', 'fantasy', 'sex', 'secret', 'lesbian', 'love']","['Peirse', 'Sarah', 'Melanie', 'Winslet', 'Kate', 'Lynskey', 'Peter', 'Jackson']"
76,218,628,110148,1994,"['romance', 'horror']","['vampire', 'paris', 'vamp', 'plantation', 'pity', 'bite', 'san', 'francisco', 'fang']","['Cruise', 'Dunst', 'Kirsten', 'Pitt', 'Tom', 'Brad', 'Neil', 'Jordan']"
77,219,87729,113463,1995,"['drama', 'romance']","['france', 'biography', 'history', 'revolution', 'president']","['Newton', 'Thandie', 'Nolte', 'Greta', 'Scacchi', 'Nick', 'James', 'Ivory']"
78,220,18713,110189,1995,"['crime', 'comedy']","['joke', 'york', 'telephone', 'new', 'gangster']","['Kamal', 'John', 'Alan', 'Ahmed', 'Arkin', 'G.', 'Brennan', 'James', 'Melkonian']"
79,224,6071,113552,1995,"['action', 'thriller', 'crime', 'drama']",['hoodlum'],"['Caruso', 'L.', 'David', 'Nicolas', 'Jackson', 'Samuel', 'Cage', 'Barbet', 'Schroeder']"
80,225,11,76759,1977,"['action', 'fiction', 'science', 'adventure']","['galactic', 'android', 'hermit', 'war', 'galaxy', 'rescue', 'rebellion', 'smuggler', 'star', 'opera', 'force', 'death', 'empire', 'mission', 'totalitarianism', 'space', 'the', 'planet', 'jedi', 'stormtrooper', 'lightsaber']","['Hamill', 'Harrison', 'Fisher', 'Carrie', 'Ford', 'Mark', 'George', 'Lucas']"
81,226,9587,110367,1994,"['drama', 'romance']","['may', 'alcott', 'director', 'chalkboard', 'pregnant', 'daughter', '\xa0nightgown', 'of', 'mother', 'birth', 'depression', 'louisa', 'woman', 'twins', 'desire', 'relationship']","['Byrne', 'Ryder', 'Winona', 'Alvarado', 'Gabriel', 'Trini', 'Gillian', 'Armstrong']"
82,231,4476,110322,1994,"['war', 'adventure', 'drama', 'romance']","['novel', 'based', 'i', 'round', 'brother', 'montana', 'journey', 'war', 'world', 'the', 'on', 'relationship']","['Pitt', 'Aidan', 'Hopkins', 'Anthony', 'Quinn', 'Brad', 'Edward', 'Zwick']"
83,253,6950,114069,1995,"['fiction', 'science', 'action', 'thriller', 'drama']","['river', 'research', 'army', 'general', 'epidemic', 'medical', 'monkey', 'serum']","['Hoffman', 'Freeman', 'Morgan', 'Rene', 'Russo', 'Dustin', 'Wolfgang', 'Petersen']"
84,255,63020,114113,1995,"['comedy', 'drama', 'romance']","['independent', 'immigration', 'director', 'film', 'prisoner', 'political', 'cuban', 'woman', 'refugees']","['Molina', 'Marisa', 'Anjelica', 'Huston', 'Alfred', 'Tomei', 'Mira', 'Nair']"
85,257,680,110912,1994,"['thriller', 'crime']","['contest', 'boxer', 'massage', 'al', 'reference', 'brothel', 'briefcase', 'dealer', 'boss', 'dance', 'stolen', 'green', 'crime', 'fiction', 'drug', 'theft', 'pulp', 'brutality', 'transporter', 'kamikaze', 'money', 'to', 'junkyard', 'redemption', 'heirloom', 'ending', 'ambiguous']","['Travolta', 'John', 'L.', 'Jackson', 'Samuel', 'Thurman', 'Uma', 'Quentin', 'Tarantino']"
